*mason-lspconfig-mapping.txt*

==============================================================================
SERVER MAPPINGS                                   *mason-lspconfig-server-map*

`Mason name`                                `lspconfig name`
angular-language-server                   angularls
ansible-language-server                   ansiblels
antlers-language-server                   antlersls
apex-language-server                      apex_ls
arduino-language-server                   arduino_language_server
asm-lsp                                   asm_lsp
ast-grep                                  ast_grep
astro-language-server                     astro
autotools-language-server                 autotools_ls
awk-language-server                       awk_ls
azure-pipelines-language-server           azure_pipelines_ls
basedpyright                              basedpyright
bash-language-server                      bashls
beancount-language-server                 beancount
bicep-lsp                                 bicep
biome                                     biome
brighterscript                            bright_script
bsl-language-server                       bsl_ls
buf                                       buf_ls
bzl                                       bzl
cairo-language-server                     cairo_ls
clangd                                    clangd
clarity-lsp                               clarity_lsp
clojure-lsp                               clojure_lsp
cmake-language-server                     cmake
cobol-language-support                    cobol_ls
codeql                                    codeqlls
coq-lsp                                   coq_lsp
crystalline                               crystalline
csharp-language-server                    csharp_ls
css-variables-language-server             css_variables
css-lsp                                   cssls
cssmodules-language-server                cssmodules_ls
cucumber-language-server                  cucumber_language_server
custom-elements-languageserver            custom_elements_ls
cypher-language-server                    cypher_ls
cuelsp                                    dagger
deno                                      denols
dhall-lsp                                 dhall_lsp_server
diagnostic-languageserver                 diagnosticls
docker-compose-language-service           docker_compose_language_service
dockerfile-language-server                dockerls
dot-language-server                       dotls
dprint                                    dprint
drools-lsp                                drools_lsp
earthlyls                                 earthlyls
efm                                       efm
elixir-ls                                 elixirls
elm-language-server                       elmls
elp                                       elp
ember-language-server                     ember
emmet-language-server                     emmet_language_server
emmet-ls                                  emmet_ls
erg-language-server                       erg_language_server
erlang-ls                                 erlangls
esbonio                                   esbonio
eslint-lsp                                eslint
facility-language-server                  facility_language_server
fennel-language-server                    fennel_language_server
fennel-ls                                 fennel_ls
flux-lsp                                  flux_lsp
foam-language-server                      foam_ls
fortls                                    fortls
fsautocomplete                            fsautocomplete
ginko_ls                                  ginko_ls
gitlab-ci-ls                              gitlab_ci_ls
glint                                     glint
glsl_analyzer                             glsl_analyzer
glslls                                    glslls
golangci-lint-langserver                  golangci_lint_ls
gopls                                     gopls
gradle-language-server                    gradle_ls
grammarly-languageserver                  grammarly
graphql-language-service-cli              graphql
groovy-language-server                    groovyls
harper-ls                                 harper_ls
haxe-language-server                      haxe_language_server
hdl-checker                               hdl_checker
helm-ls                                   helm_ls
haskell-language-server                   hls
hoon-language-server                      hoon_ls
html-lsp                                  html
htmx-lsp                                  htmx
hydra-lsp                                 hydra_lsp
hyprls                                    hyprls
intelephense                              intelephense
java-language-server                      java_language_server
jdtls                                     jdtls
jedi-language-server                      jedi_language_server
jinja-lsp                                 jinja_lsp
jq-lsp                                    jqls
